Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:00:03.4225,69.9999999822063,-2.37252987917564e-06,-6.97802905639895e-06,0.000209810475385011,-0.00616571172564295
00:00:03.5000,69.9999999822832,-1.90812354930163e-06,-5.61212808618125e-06,0.000202153977426401,-0.00560188692198232
00:00:03.5010,69.9999999822841,-1.90303099874482e-06,-5.59714999630828e-06,0.000201844135587713,-0.00559413129062936
00:00:03.5021,69.9999999822851,-1.89850702803922e-06,-5.58384420011534e-06,0.000201447066388715,-0.00558639091620878
00:00:03.5037,69.9999999822865,-1.89223243614501e-06,-5.56538951807357e-06,0.000200821090563371,-0.00557513841099271
00:00:03.5067,69.9999999822891,-1.88047337301081e-06,-5.5308040382671e-06,0.000199666135436865,-0.00555419254849995
00:00:03.5096,69.9999999822917,-1.86833648671009e-06,-5.49510731385322e-06,0.00019858838231141,-0.00553335339639407
00:00:03.5126,69.9999999822942,-1.85567218472386e-06,-5.45785936683489e-06,0.000197618281161307,-0.00551261791319448
00:00:03.5178,69.9999999822986,-1.83250444049967e-06,-5.3897189426461e-06,0.00019613854647439,-0.00547651842876594
00:00:03.5395,69.9999999823165,-1.7294776544816e-06,-5.08669898376941e-06,0.000191656774308142,-0.00532773728575197
00:00:03.5759,69.9999999823441,-1.54736705182889e-06,-4.55107956420262e-06,0.000187201155890213,-0.00508356701895994
00:00:03.6309,69.99999998238,-1.26956411861732e-06,-3.73401211358035e-06,0.000182382783989952,-0.00472449547520175
00:00:03.7028,69.9999999824163,-9.14122690627665e-07,-2.6885961489049e-06,0.000176455687392402,-0.00426870071843372
00:00:03.8028,69.9999999824479,-4.42640321396188e-07,-1.30188329822408e-06,0.000168201468990667,-0.0036601940777009
00:00:03.9028,69.9999999824581,5.41666250995983e-09,1.59313603234113e-08,0.000160258479515422,-0.00308018858265234
00:00:04.0000,69.9999999824486,4.2087418360829e-07,1.23786524590673e-06,0.00015292719012978,-0.00254279488602147
00:00:04.0000,69.9999999824485,4.18568247311392e-07,1.23108308032762e-06,0.000152805417497573,-0.00254226379724154
00:00:04.0001,69.9999999824485,4.13812453440912e-07,1.2170954512968e-06,0.000152579920444559,-0.00254173349219661
00:00:04.0002,69.9999999824485,4.06860408482054e-07,1.19664826024134e-06,0.000152260556105337,-0.00254120429713077
00:00:04.0003,69.9999999824485,3.98491616720812e-07,1.17203416682592e-06,0.000151879393291175,-0.00254067600792194
00:00:04.0005,69.9999999824485,3.79060960984156e-07,1.11488517936516e-06,0.000150999222273755,-0.00253971441758401
00:00:04.0009,69.9999999824484,3.28229439771e-07,9.65380705208823e-07,0.000148675167708422,-0.0025378465960933
00:00:04.0013,69.9999999824483,2.56880257333132e-07,7.55530168626857e-07,0.000145300191228874,-0.00253576496491354
00:00:04.0017,69.9999999824483,1.786385513737e-07,5.25407504040293e-07,0.000141396605116486,-0.00253373445959943
00:00:04.0021,69.9999999824483,9.94458429210909e-08,2.92487773297326e-07,0.00013717392194794,-0.0025317611914821
00:00:04.0025,69.9999999824482,2.30963707324354e-08,6.79305021542218e-08,0.000132775336371098,-0.00252984882377491
00:00:04.0029,69.9999999824482,-4.81803887590295e-08,-1.41707025761851e-07,0.000128293951715797,-0.00252799928086444
00:00:04.0034,69.9999999824483,-1.31129280282906e-07,-3.85674353773254e-07,0.000122455228471978,-0.00252569389829307
00:00:04.0041,69.9999999824483,-2.18944632495524e-07,-6.43954801457423e-07,0.000115159824287242,-0.00252294108104852
00:00:04.0047,69.9999999824484,-2.87968088531985e-07,-8.46964966270544e-07,0.000108002113171409,-0.00252035553359048
00:00:04.0056,69.9999999824485,-3.5150499338296e-07,-1.03383821583224e-06,9.88389281782557e-05,-0.00251719108690012
00:00:04.0067,69.9999999824487,-3.91799939683958e-07,-1.15235276377635e-06,8.72901212237357e-05,-0.0025134320954814
00:00:04.0082,69.999999982449,-3.80110797041724e-07,-1.11797293247566e-06,7.30006583111345e-05,-0.00250915823016469
00:00:04.0103,69.9999999824493,-2.69238495860779e-07,-7.9187792900229e-07,5.511316993709e-05,-0.00250448046215903
00:00:04.0134,69.9999999824495,3.97101445782029e-08,1.16794542877067e-07,3.16209501906042e-05,-0.00249973434246793
00:00:04.0187,69.9999999824484,7.91130673528143e-07,2.3268549221416e-06,-1.42462163658084e-06,-0.00249675465613787
00:00:04.0300,69.9999999824394,2.57651594591856e-06,7.57798807623105e-06,-4.98314439927265e-05,-0.00250596430531847
00:00:04.0413,69.9999999824226,3.92705620667902e-06,1.15501653137618e-05,-7.63630455857873e-05,-0.00253038728245859
00:00:04.0527,69.9999999824,4.77817237794106e-06,1.40534481704149e-05,-9.04127615824295e-05,-0.0025633914163215
00:00:04.0666,69.9999999823675,5.3901608732756e-06,1.58534143331635e-05,-9.91259496587611e-05,-0.00260975708569036
00:00:04.0843,69.999999982322,5.78519998583023e-06,1.70152940759713e-05,-0.000103544733435991,-0.00267281862105944
00:00:04.1071,69.9999999822601,6.01275304578945e-06,1.76845677817337e-05,-0.000104696798566962,-0.0027561594236347
